"Name","Gross Export","Share"
"Germany",569156892097,9.850775876085303
"France",333322551589,5.769034506549599
"United Kingdom",305666440935,5.2903718540549365
"Italy",238455911698,4.127114641114203
"Netherlands",197251038212,3.4139545628490717
"Belgium",148431502514,2.5690024745704263
"Spain",130708697861,2.2622621381947914
"Switzerland",94013648839,1.6271565834753032
"Sweden",75797879151,1.311884174235471
"Russia",62249149017,1.0773873143909785
"Denmark",53370862350,0.9237249177220682
"Norway",44153259817,0.7641897562784916
"Austria",62466934994,1.0811566807610788
"Finland",37021748077,0.6407599519769416
"Ireland",29507684149,0.5107090631954871
"Poland",35995732745,0.6230020240289537
"Portugal",38840226248,0.6722335599518435
"Czechia",28456108412,0.4925087443629239
"Hungary",20554739087,0.3557545041604083
"Greece",29143207682,0.5044008272092796
"Slovakia",10833701703,0.18750606180207438
"Slovenia",10503574702,0.1817923348093053
"Romania",11127054010,0.19258330477165803
"Ukraine",7641006749,0.13224797239075886
"Croatia",8644420999,0.14961472842036988
"Bulgaria",5432289725,0.09402024172592484
"Lithuania",4010682760,0.06941554697383144
"Latvia",2568502331,0.04445477363308736
"Estonia",3176380516,0.05497572461082935
"Malta",4361928597,0.07549479167022231
"Iceland",2192243972,0.03794262062663486
"Belarus",2353692192,0.040736912065245545
"North Macedonia",2070869565,0.035841913252180384
"Moldova",1117771017,0.019346004453503787
"Faroe Islands",219028225,0.003790866780269209
"Albania",1007331172,0.017434548796916235
"Gibraltar",629587451,0.010896687645029622
"Bosnia and Herzegovina",809741813,0.01401473869176752
"Andorra",1006814899,0.017425613317640677
"Montenegro",0,0
"Serbia",0,0
"Luxembourg",0,0
"San Marino",0,0
"Japan",293951750330,5.087617932930724
"China",171254764036,2.96401980131517
"South Korea",146398739254,2.5338200924163194
"Singapore",136769228981,2.367155770481661
"Hong Kong",159933058713,2.7680675371494092
"Taiwan",91836441904,1.5894742188226962
"Malaysia",85141412673,1.4735989068407394
"Thailand",83199190182,1.439983573835034
"Indonesia",51237046157,0.8867935454240724
"Saudi Arabia",48175073761,0.8337979580375712
"India",42133258287,0.7292282498508612
"Turkiye",37288685689,0.6453800182982351
"Philippines",32784862030,0.567429354665301
"Israel",32586826271,0.5640018184192372
"United Arab Emirates",22884298939,0.3960737418093262
"Iran",11043830108,0.19114289349399652
"Kuwait",12032225612,0.20824971012404977
"Pakistan",11515162447,0.19930055493868787
"Oman",5224690370,0.09042718197997285
"Vietnam",8155960952,0.14116062637182777
"Syria",5332565778,0.09229425322430763
"Cyprus",5407392021,0.09358932064715259
"Kazakhstan",4358934861,0.07544297709540532
"Bangladesh",7337907441,0.12700203160929208
"Sri Lanka",5528390177,0.0956835159959677
"Jordan",5496045440,0.09512370417714916
"Qatar",2412265402,0.041750677464671725
"Brunei",3037835075,0.05257782676070228
"Bahrain",2374578660,0.04109840802175232
"Macao",3044576356,0.05269450258273097
"Yemen",1759519387,0.030453169190491052
"Uzbekistan",1582867298,0.02739573430576211
"Myanmar",2694892021,0.046642283837260934
"Nepal",1028525434,0.017801371948353097
"North Korea",1248710606,0.021612262777800588
"Turkmenistan",289988627,0.005019025528559977
"Kyrgyzstan",802963142,0.013897415736206542
"Lebanon",5379699628,0.09311003003202815
"Iraq",519530848,0.00899186501195584
"Cambodia",1487062655,0.025737579798304218
"Laos",684331818,0.011844184718829887
"Mongolia",361724502,0.006260605902464046
"Maldives",315837110,0.0054664023701750395
"Azerbaijan",724722868,0.012543259414181104
"Palestine",390900000,0.006765565599626412
"Tajikistan",143289567,0.002480007585777856
"Georgia",372629295,0.0064493423885010025
"Armenia",253020534,0.004379194220592236
"Afghanistan",299171458,0.005177958876016572
"Bhutan",35228130,0.0006097166141395937
"Timor-Leste",3170353,0.00005487140239312457
"United States of America",874675400357,15.138587361204344
"Canada",204355310769,3.5369129205415994
"Mexico",71558154683,1.238504450488745
"Brazil",63539435573,1.099719159714422
"Argentina",26059020668,0.4510207566932067
"Venezuela",16466787439,0.2850016132864126
"Chile",18369790894,0.3179381564205089
"Colombia",15626231765,0.27045355866224996
"Dominican Republic",5561405002,0.09625492547229843
"Peru",8622771747,0.1492400304551899
"Ecuador",5651353030,0.09781171565902402
"Costa Rica",4307470651,0.07455225187466356
"Panama",16759869979,0.29007418721958006
"Guatemala",4333721076,0.07500658539309685
"Uruguay",4277501670,0.07403355884087114
"Jamaica",3575463669,0.06188292146763989
"Trinidad and Tobago",1732916880,0.02999274195533367
"Honduras",2652826249,0.04591422361734553
"The Bahamas",2360468914,0.040854201288170675
"El Salvador",3028677155,0.05241932456444715
"Paraguay",5355506452,0.09269130268669352
"Aruba",1668847066,0.028883843184361907
"Bolivia",2041950890,0.03534139856104
"Netherlands Antilles",2563092233,0.04436113747826668
"Cuba",2119329004,0.03668063290804018
"Barbados",733360238,0.01269275210628457
"Nicaragua",1059299123,0.018333992597296567
"Guyana",552387977,0.009560545139008508
"Suriname",839002031,0.014521164694168056
"Greenland",292666759,0.005065377735596197
"Antigua and Barbuda",418217115,0.0072383610294679025
"Saint Lucia",438632387,0.007591701684239498
"Belize",372174756,0.00644147538051408
"Haiti",1135588203,0.019654378310458874
"Martinique",1784442669,0.030884532964676234
"Bermuda",785654272,0.013597839641449812
"Saint Vincent and the Grenadines",276136743,0.004779281783662521
"Dominica",226319551,0.003917062595979778
"Guadeloupe",1836321374,0.03178243212533412
"Grenada",141322570,0.0024459634639109632
"Saint Kitts and Nevis",157595374,0.0027276076771416183
"Cayman Islands",692817592,0.011991053638401654
"British Virgin Islands",336785431,0.005828968857582386
"French Guiana",3243734397,0.056141462907823285
"Falkland Islands",42758249,0.0007400453787021244
"Montserrat",30895610,0.0005347308165655507
"Turks and Caicos Islands",52841814,0.000914568326989658
"Saint Pierre and Miquelon",54875403,0.0009497650007736914
"Anguilla",329352220,0.005700317344058813
"St-Martin / St Maarten",0,0
"US Virgin Islands",0,0
"Curaçao",0,0
"South Africa",30938203618,0.5354680125663295
"Egypt",19955798543,0.3453882428641486
"Nigeria",6388474875,0.11056957239288218
"Algeria",9213682499,0.159467314814823
"Morocco",10932211117,0.18921102957541222
"Libya",4965380270,0.08593913006849759
"Tunisia",8538132338,0.14777512005891694
"Côte d'Ivoire",2717838046,0.047039425912953355
"Angola",3732205667,0.06459575920027104
"Kenya",3744994608,0.06481710588557484
"Gabon",1617970209,0.028003283671605927
"Mauritius",2453582926,0.04246578726010825
"Cameroon",1556328570,0.026936410936064893
"Zimbabwe",2244667985,0.03884995779457338
"Republic of the Congo",1477562429,0.025573153085041808
"Ghana",2269992600,0.03928826770520982
"Democratic Republic of the Congo",1166277941,0.020185545963757285
"Tanzania",2206517220,0.038189657197787934
"Zambia",941729151,0.0162991311030212
"Senegal",1851073930,0.03203776439798739
"Guinea",1130200247,0.019561125381919862
"Ethiopia",1557050566,0.026948906999765754
"Madagascar",1086185626,0.01879933513961187
"Liberia",5137219679,0.08891326870802312
"Uganda",1362900069,0.023588615560385936
"Sudan",1122663887,0.019430688600230426
"Mauritania",746258052,0.012915983128819182
"Niger",499727335,0.008649112476001494
"Malawi",586168170,0.010145201347014497
"Togo",892580695,0.015448486172889828
"Benin",1215094000,0.02103043787851741
"Seychelles",343648436,0.005947751437623481
"Namibia",551462124,0.009544520786982131
"Mali",1059553613,0.018338397224539976
"Botswana",444230949,0.007688599710523907
"Sierra Leone",291428068,0.005043938888785845
"Burundi",288637997,0.004995649279223003
"Mozambique",1039695658,0.017994702424778068
"The Gambia",326250030,0.005646625683921936
"Djibouti",420652726,0.00728051576468323
"Réunion",2328637497,0.040303273839097854
"Eswatini",235476973,0.004075556173018566
"Central African Republic",152746857,0.0026436911772070985
"Burkina Faso",415159840,0.007185446743029945
"Somalia",83150068,0.001439133383646449
"Chad",160923272,0.0027852058153556513
"Guinea-Bissau",147358452,0.0025504304775272445
"Equatorial Guinea",157090557,0.0027188704744572833
"Cabo Verde",282396315,0.004887620348491339
"Eritrea",175553385,0.0030384188857865728
"Comoros",212667941,0.003680785126050088
"Rwanda",165251829,0.0028601230226598783
"Lesotho",468720342,0.008112453879970137
"British Indian Ocean Territory",6109258,0.00010573698072152072
"Sao Tome and Principe",41158707,0.0007123610442678506
"Saint Helena, Ascension and Tristan da Cunha",21333340,0.0003692302666388696
"Western Sahara",1566050,0.000027104666173688773
"South Sudan",0,0
"Australia",70103904489,1.2133347777187875
"New Zealand",12123415635,0.20982799634210536
"Papua New Guinea",1802170995,0.031191368862666928
"Fiji",1049109289,0.01815763038093355
"New Caledonia",821980752,0.014226566127618955
"Solomon Islands",193376467,0.0033468947887247175
"Micronesia",57567176,0.0009963533016455338
"Samoa",150387807,0.002602861534004748
"Vanuatu",158902733,0.002750235006578206
"French Polynesia",666686905,0.011538792504961376
"Norfolk Island",10548670,0.00018257282904530863
"Nauru",27362785,0.0004735858708262307
"Marshall Islands",582537913,0.010082370081020628
"Palau",23298663,0.000403245415477331
"Tonga",55786796,0.0009655390839881717
"Kiribati",28942039,0.0005009190673866615
"Cocos (Keeling) Islands",8015106,0.00013872275628283256
"Tokelau",4526639,0.00007834554387395063
"Cook Islands",48896653,0.0008462868085793544
"Pitcairn",6780637,0.00011735698242710166
"Northern Mariana Islands",81972609,0.0014187543196777345
"Christmas Island",22554720,0.00039036950048914254
"Tuvalu",4695377,0.00008126600437062436
"Wallis and Futuna",19468596,0.0003369559052714873
"Niue",38634728,0.0006686768654584889
"American Samoa",0,0
"Guam",0,0
"French Southern and Antarctic Lands",3941332,0.0000682152473673747
"Undeclared",342583,0.000005929311230025109